type,prompt,options,answer,source,license
mcq,"April (Apr.) is the fourth _____ of the year in the Julian and Gregorian calendars, and comes between March and May.",month|meeting|past|move,month,simplewiki,CC BY-SA
mcq,It is one of four _____ to have 30 days.,plan|original|gold|month,month,simplewiki,CC BY-SA
mcq,"April always begins on the same _____ of the week as July, and additionally, January in leap years.",man|day|life|being,day,simplewiki,CC BY-SA
mcq,April always ends on the same _____ of the week as December.,life|day|look||two,day,simplewiki,CC BY-SA
mcq,"April comes between March and May, making it the fourth _____ of the year.",light|title|key|month,month,simplewiki,CC BY-SA
mcq,"It also comes first in the _____ out of the four months that have 30 days, as June, September and November are later in the year.",year|while|go|part,year,simplewiki,CC BY-SA
mcq,April begins on the same _____ of the week as July every year and on the same day of the week as January in leap years.,off|day|right|down,day,simplewiki,CC BY-SA
mcq,"April ends on the same _____ of the week as December every year, as each other's last days are exactly 35 weeks (245 days) apart.",life|day|being|part,day,simplewiki,CC BY-SA
mcq,"In common _____, April starts on the same day of the week as October of the previous year, and in leap years, May of the previous year.",over|while|year||two,year,simplewiki,CC BY-SA
mcq,"In common _____, April finishes on the same day of the week as July of the previous year, and in leap years, February and October of the previous year.",s|work|year|while,year,simplewiki,CC BY-SA
mcq,April is a _____ month in the Northern Hemisphere and an autumn/fall month in the Southern Hemisphere.,guard|coast|spring|sweet,spring,simplewiki,CC BY-SA
mcq,"In each _____, it is the seasonal equivalent of October in the other.",heel|pneumonia|dementia|hemisphere,hemisphere,simplewiki,CC BY-SA
mcq,It is unclear as to where April got its _____.,lot|state|care|name,name,simplewiki,CC BY-SA
mcq,"A common _____ is that it comes from the Latin word ""aperire"", meaning ""to open"", referring to flowers opening in spring.",theory|medicine|opening|sister,theory,simplewiki,CC BY-SA
mcq,"It was originally the second _____ in the old Roman Calendar, before the start of the new year was put to January 1.",living|month|pick|education,month,simplewiki,CC BY-SA
mcq,Quite a few _____ are held in this month.,festival|ride|download|squad,festival,simplewiki,CC BY-SA
mcq,"In Western Christianity, Easter can be _____ on a Sunday between March 22 and April 25.",monitor|celebrate|secure|broadcast,celebrate,simplewiki,CC BY-SA
mcq,"In Orthodox Christianity, it can _____ between April 4 and May 8.",search|attack|fine|fall,fall,simplewiki,CC BY-SA
mcq,"At the _____ of the month, Central and Northern European cultures celebrate Walpurgis Night on April 30, marking the transition from winter into summer.",city|country|end|job,end,simplewiki,CC BY-SA
mcq,"_____ use ""April"" to mean the end of winter.",cinema|poet|input|concentration,poet,simplewiki,CC BY-SA
mcq,"For _____: ""April showers bring May flowers.""",o|lord|phone|example,example,simplewiki,CC BY-SA
mcq,"August does not begin on the same _____ of the week as any other month in common years, but begins on the same day of the week as February in leap years.",’s|day|man|home,day,simplewiki,CC BY-SA
mcq,August always ends on the same _____ of the week as November.,s|work|day|’s,day,simplewiki,CC BY-SA
mcq,"Or, when those two _____ were moved from the end to the beginning of the year by the decemvirs about 450 BC (Roman writers disagree).",turn|month|food|word,month,simplewiki,CC BY-SA
mcq,In 153 BC January 1 was determined as the _____ of the year.,wind|image|beginning|tax,beginning,simplewiki,CC BY-SA
mcq,The _____ has 31 days because Julius Caesar added two days when he created the Julian calendar in 45 BC.,summer|month|staff|past,month,simplewiki,CC BY-SA
