level,type,prompt,answer,source,license
A2,gapfill,"April always begins on the same day of the week as July, and additionally, _____ in leap years.",january,simplewiki,CC BY-SA
A2,gapfill,"In common years, April finishes on the same day of the week as _____ of the previous year, and in leap years, February and October of the previous year.",july,simplewiki,CC BY-SA
A2,gapfill,_____ is a spring month in the Northern Hemisphere and an autumn/fall month in the Southern Hemisphere.,april,simplewiki,CC BY-SA
A2,gapfill,"In each hemisphere, _____ is the seasonal equivalent of October in the other.",it,simplewiki,CC BY-SA
A2,gapfill,_____ is unclear as to where April got its name.,it,simplewiki,CC BY-SA
A2,gapfill,Quite a few festivals are held in _____ month.,this,simplewiki,CC BY-SA
A2,gapfill,"In Orthodox Christianity, _____ can fall between April 4 and May 8.",it,simplewiki,CC BY-SA
A2,gapfill,"At the end of the month, Central and Northern European cultures celebrate Walpurgis Night on April 30, marking the transition from winter _____ summer.",into,simplewiki,CC BY-SA
A2,gapfill,"Poets _____ ""April"" to mean the end of winter.",use,simplewiki,CC BY-SA
A2,gapfill,"For example: ""April showers bring _____ flowers.""",may,simplewiki,CC BY-SA
A2,gapfill,The month has 31 days because Julius Caesar added two days when _____ created the Julian calendar in 45 BC.,he,simplewiki,CC BY-SA
A2,gapfill,"August, in either hemisphere, is the seasonal equivalent of _____ in the other.",february,simplewiki,CC BY-SA
A2,gapfill,In the Northern hemisphere _____ is a summer month and it is a winter month in the Southern hemisphere.,it,simplewiki,CC BY-SA
A2,gapfill,"In common years, August finishes on the same day of the week as _____ and June of the previous year, and in leap years, September of the previous year.",march,simplewiki,CC BY-SA
A2,gapfill,"Art is a diverse range of _____ activities in creating visual, performing subjects, and expressing the author's thoughts.",human,simplewiki,CC BY-SA
A2,gapfill,"Some _____ find art relaxing, exciting or informative.",people,simplewiki,CC BY-SA
A2,gapfill,"Some people say _____ art is a product or item that is made with the intention of stimulating the human senses as well as the human mind, spirit and soul.",that,simplewiki,CC BY-SA
A2,gapfill,Art _____ also be an Idea or a concept that is expressed visually.,can,simplewiki,CC BY-SA
A2,gapfill,"In the Middle Ages, most of the art in Europe showed _____ from the Bible in paintings, stained-glass windows, and mosaic tile floors and walls.",people,simplewiki,CC BY-SA
A2,gapfill,"In _____ and Tibet, painted sculptures, dance, and religious painting were done.",india,simplewiki,CC BY-SA
A2,gapfill,"There are many Chinese artistic styles, _____ are usually named after the ruling dynasty.",which,simplewiki,CC BY-SA
A2,gapfill,What aims did _____ like/dislike in human activity?,they,simplewiki,CC BY-SA
A2,gapfill,A is the _____ letter of the English alphabet.,first,simplewiki,CC BY-SA
A2,gapfill,A is _____ to Alpha of the Greek alphabet.,similar,simplewiki,CC BY-SA
A2,gapfill,"""Alpha and Omega"" (the _____ letter of the Greek alphabet) means from beginning to the end.",last,simplewiki,CC BY-SA
A2,gapfill,The Greeks later modified this letter and used _____ as their letter alpha.,it,simplewiki,CC BY-SA
A2,gapfill,"In algebra, the letter ""A"" along with _____ letters at the beginning of the alphabet is used to represent known quantities.",other,simplewiki,CC BY-SA
A2,gapfill,"In geometry, _____ A, B, C etc.",capital,simplewiki,CC BY-SA
A2,gapfill,"are used to label _____ segments, lines, etc.",line,simplewiki,CC BY-SA
A2,gapfill,"Also, A is typically used as _____ of the letters to label an angle in a triangle.",one,simplewiki,CC BY-SA
A2,gapfill,Air is a mixture of _____ gases and tiny dust particles.,many,simplewiki,CC BY-SA
A2,gapfill,The weight of _____ creates atmospheric pressure.,air,simplewiki,CC BY-SA
A2,gapfill,"In breathing, the lungs put oxygen _____ the blood, and send back carbon dioxide to the air.",into,simplewiki,CC BY-SA
A2,gapfill,Plants need the carbon dioxide in the _____ to live.,air,simplewiki,CC BY-SA
A2,gapfill,At first _____ was mainly a hydrogen atmosphere.,it,simplewiki,CC BY-SA
A2,gapfill,_____ is divided in 17 parts called autonomous communities.,spain,simplewiki,CC BY-SA
A2,gapfill,"""Autonomous"" means _____ each of these autonomous communities has its own executive, legislative, and judicial powers.",that,simplewiki,CC BY-SA
